System_Voltage_Configuration,MCOV,Max_Surge_Current_Rating,VP_Line_to_Line,VP_Line_to_Neutral,VP_Line_to_Ground,VP_Neutral_to_Ground,Enclosure_Protection_Level,SPD_Name_Product_Number,SPD_Type,Description,Product_Link,Data_Sheet
240V High Leg 3 Phase,150/320 Vac,200kA,1000/1800V,700/1000V,700/1000V,1000V,NEMA 12,ADSc-100-240H,2,,https://shopalltec.com/adsc-100/?searchid=6557&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-100%20Datasheet.pdf
277/480V 3 Phase Wye,320 Vac,200kA,1800V,1000V,1000V,1000V,NEMA 12,ADSc-100-480W,2,,https://shopalltec.com/adsc-100/?searchid=6557&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-100%20Datasheet.pdf
480V 3 Phase Delta,600 Vac,200kA,3000V,N/A,1800V,N/A,NEMA 12,ADSc-100-480D,2,,https://shopalltec.com/adsc-100/?searchid=6557&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-100%20Datasheet.pdf
347/600V 3 Phase Wye,600 Vac,200kA,3000V,1800V,1800V,1800V,NEMA 12,ADSc-100-600W,2,,https://shopalltec.com/adsc-100/?searchid=6557&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-100%20Datasheet.pdf
600V 3 Phase Delta,600 Vac,200kA,3000V,N/A,2100V,N/A,NEMA 12,ADSc-100-600D,2,,https://shopalltec.com/adsc-100/?searchid=6557&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-100%20Datasheet.pdf
120/240V Split Phase,150 Vac,400kA,1000V,700V,700V,700V,NEMA 12,ADSc-200-120T,2,,https://shopalltec.com/adsc-200/?searchid=6558&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-200%20Datasheet.pdf
120/208V 3 Phase Wye,150 Vac,400kA,1000V,700V,700V,700V,NEMA 12,ADSc-200-120W,2,,https://shopalltec.com/adsc-200/?searchid=6558&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-200%20Datasheet.pdf
127/220V 3 Phase Wye,150 Vac,400kA,1000V,700V,700V,700V,NEMA 12,ADSc-200-127W,2,,https://shopalltec.com/adsc-200/?searchid=6558&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-200%20Datasheet.pdf
220/380V 3 Phase Wye,320 Vac,400kA,1800V,1000V,1000V,1000V,NEMA 12,ADSc-200-220W,2,,https://shopalltec.com/adsc-200/?searchid=6558&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-200%20Datasheet.pdf
240V 3 Phase Delta,320 Vac,400kA,1800V,N/A,1000V,N/A,NEMA 12,ADSc-200-240D,2,,https://shopalltec.com/adsc-200/?searchid=6558&search_query=adsc,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSc-200%20Datasheet.pdf
